datetime,open,high,low,close,volume,hold
2023-10-17 09:15:00,462.8,462.96,462.6,462.9,918,160390
2023-10-17 09:20:00,462.9,463.16,462.78,463.16,1001,160312
2023-10-17 09:25:00,463.16,463.24,463.0,463.14,886,160251
2023-10-17 09:30:00,463.14,463.18,463.02,463.14,464,160202
2023-10-17 09:35:00,463.14,463.14,462.94,463.02,618,160220
2023-10-17 09:40:00,463.04,463.06,462.7,462.72,840,160123
2023-10-17 09:45:00,462.72,462.72,462.16,462.24,1995,160343
2023-10-17 09:50:00,462.22,462.46,462.18,462.4,891,160172
2023-10-17 09:55:00,462.4,462.48,462.1,462.16,2311,159784
2023-10-17 10:00:00,462.18,462.36,462.16,462.32,568,159657
2023-10-17 10:05:00,462.32,462.34,462.26,462.32,281,159540
2023-10-17 10:10:00,462.3,462.36,462.2,462.3,280,159416
2023-10-17 10:15:00,462.3,462.48,462.3,462.44,491,159304
2023-10-17 10:35:00,462.3,462.52,462.28,462.38,939,159262
2023-10-17 10:40:00,462.36,462.42,462.3,462.42,426,159177
2023-10-17 10:45:00,462.5,462.66,462.46,462.52,677,159104
2023-10-17 10:50:00,462.52,462.58,462.38,462.54,476,158947
2023-10-17 10:55:00,462.54,462.76,462.54,462.64,790,158813
2023-10-17 11:00:00,462.62,462.86,462.58,462.84,931,158541
2023-10-17 11:05:00,462.84,462.86,462.74,462.76,569,158426
2023-10-17 11:10:00,462.76,462.76,462.66,462.76,327,158319
2023-10-17 11:15:00,462.76,462.92,462.76,462.9,412,158341
2023-10-17 11:20:00,462.9,462.94,462.78,462.8,275,158303
2023-10-17 11:25:00,462.8,462.84,462.62,462.64,318,158194
2023-10-17 11:30:00,462.64,462.68,462.58,462.62,321,158137
2023-10-17 13:35:00,462.84,462.86,462.66,462.7,783,158272
2023-10-17 13:40:00,462.7,462.86,462.62,462.78,697,158148
2023-10-17 13:45:00,462.78,462.78,462.66,462.7,453,157963
2023-10-17 13:50:00,462.7,462.92,462.66,462.88,421,157865
2023-10-17 13:55:00,462.88,463.04,462.86,463.02,936,157843
2023-10-17 14:00:00,463.02,463.16,462.94,463.08,854,157688
2023-10-17 14:05:00,463.1,463.28,463.04,463.28,907,157588
2023-10-17 14:10:00,463.28,463.34,463.08,463.22,1427,157301
2023-10-17 14:15:00,463.24,463.38,463.12,463.3,988,157124
2023-10-17 14:20:00,463.3,463.4,463.24,463.26,749,156979
2023-10-17 14:25:00,463.26,463.3,463.06,463.22,862,156801
2023-10-17 14:30:00,463.22,463.4,463.18,463.32,795,156562
2023-10-17 14:35:00,463.3,463.38,463.2,463.36,586,156468
2023-10-17 14:40:00,463.34,463.38,463.16,463.2,480,156306
2023-10-17 14:45:00,463.2,463.34,463.18,463.26,409,156277
2023-10-17 14:50:00,463.26,463.42,463.2,463.34,749,156230
2023-10-17 14:55:00,463.36,463.42,463.26,463.4,765,156108
2023-10-17 15:00:00,463.4,463.42,463.3,463.4,647,155999
2023-10-17 21:05:00,464.9,464.9,464.3,464.38,4856,156270
2023-10-17 21:10:00,464.36,464.62,464.1,464.56,2359,156351
2023-10-17 21:15:00,464.54,464.56,464.26,464.4,1223,156256
2023-10-17 21:20:00,464.4,464.58,464.3,464.44,1243,156390
2023-10-17 21:25:00,464.48,464.74,464.44,464.68,1144,156441
2023-10-17 21:30:00,464.7,464.7,464.36,464.42,1065,156432
2023-10-17 21:35:00,464.42,464.42,464.06,464.28,1768,156486
2023-10-17 21:40:00,464.28,464.78,464.24,464.72,1676,156154
2023-10-17 21:45:00,464.72,464.74,464.46,464.68,1425,156095
